Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta106,200,best,insert,random,6,26.6932,9.8174
ta106,200,best,insert,random,7,30.5597,9.1142
ta106,200,best,insert,random,8,27.8148,9.2717
ta106,200,best,insert,random,9,26.2475,9.126
ta106,200,best,insert,random,10,29.6161,9.1569
ta106,200,best,insert,srz,1,6.6534,8.411
ta106,200,best,insert,srz,2,6.6534,8.1856
ta106,200,best,insert,srz,3,6.6534,8.2514
ta106,200,best,insert,srz,4,6.6534,8.232
ta106,200,best,insert,srz,5,6.6534,8.3372
ta106,200,best,insert,srz,6,6.6534,8.2555
ta106,200,best,insert,srz,7,6.6534,8.2546
ta106,200,best,insert,srz,8,6.6534,8.3514
ta106,200,best,insert,srz,9,6.6534,8.2269
ta106,200,best,insert,srz,10,6.6534,8.2021
ta088,100,first,transpose,random,1,20.4312,0.9753
ta088,100,first,transpose,random,2,17.8368,0.9191
ta088,100,first,transpose,random,3,20.7726,1.019
ta088,100,first,transpose,random,4,18.7881,1.3638
ta088,100,first,transpose,random,5,17.0145,2.9932
ta088,100,first,transpose,random,6,20.3656,0.6025
ta088,100,first,transpose,random,7,19.7267,1.3907
ta088,100,first,transpose,random,8,19.6057,0.9642
ta088,100,first,transpose,random,9,20.2978,1.0683
ta088,100,first,transpose,random,10,18.224,1.3117
ta088,100,first,transpose,srz,1,6.7829,0.8514
ta088,100,first,transpose,srz,2,6.7829,0.9953
ta088,100,first,transpose,srz,3,6.7829,0.7423
ta088,100,first,transpose,srz,4,6.7941,0.7536
ta088,100,first,transpose,srz,5,6.7941,1.0634
ta088,100,first,transpose,srz,6,6.8159,0.6662
ta088,100,first,transpose,srz,7,6.7941,1.0548
ta088,100,first,transpose,srz,8,6.7936,0.8445
ta088,100,first,transpose,srz,9,6.7829,0.6734
ta088,100,first,transpose,srz,10,6.7941,0.8066
ta088,100,first,exchange,random,1,13.5913,0.8663
ta088,100,first,exchange,random,2,12.6951,1.1264
ta088,100,first,exchange,random,3,12.4333,0.9724
ta088,100,first,exchange,random,4,18.0235,0.6004
ta088,100,first,exchange,random,5,13.6917,0.5711
ta088,100,first,exchange,random,6,10.9475,1.0873
ta088,100,first,exchange,random,7,9.3635,1.8295
ta088,100,first,exchange,random,8,12.7149,2.1692
ta088,100,first,exchange,random,9,13.4714,0.5546
ta088,100,first,exchange,random,10,14.378,0.7938
ta088,100,first,exchange,srz,1,7.9391,0.7293
ta088,100,first,exchange,srz,2,7.4039,0.7245
ta088,100,first,exchange,srz,3,6.687,0.6875
ta088,100,first,exchange,srz,4,7.2619,0.7524
ta088,100,first,exchange,srz,5,7.5522,0.7856
ta088,100,first,exchange,srz,6,7.9311,1.6447
ta088,100,first,exchange,srz,7,7.7592,0.7218
ta088,100,first,exchange,srz,8,7.2482,0.9185
ta088,100,first,exchange,srz,9,6.8295,1.1409
ta088,100,first,exchange,srz,10,7.5431,1.0598
ta088,100,first,insert,random,1,17.0291,1.258
ta088,100,first,insert,random,2,16.5919,0.9733
ta088,100,first,insert,random,3,17.0855,1.4544
ta088,100,first,insert,random,4,14.5759,0.9293
ta088,100,first,insert,random,5,16.2543,0.7433
ta088,100,first,insert,random,6,17.1648,0.4465
ta088,100,first,insert,random,7,16.42,0.5654
ta088,100,first,insert,random,8,15.8208,0.6834
ta088,100,first,insert,random,9,21.3432,0.4508
ta088,100,first,insert,random,10,15.787,1.0267
ta088,100,first,insert,srz,1,7.0383,0.6815
ta088,100,first,insert,srz,2,6.3889,1.2478
ta088,100,first,insert,srz,3,7.4089,1.1004
ta088,100,first,insert,srz,4,6.9754,0.9646
ta088,100,first,insert,srz,5,7.3694,1.3854
ta088,100,first,insert,srz,6,6.9093,1.0307
ta088,100,first,insert,srz,7,7.1923,0.9277
ta088,100,first,insert,srz,8,7.062,0.7545
ta088,100,first,insert,srz,9,7.2729,0.8354
ta088,100,first,insert,srz,10,6.4298,0.6895
ta088,100,best,transpose,random,1,23.6211,0.0277
ta088,100,best,transpose,random,2,26.4669,0.053
ta088,100,best,transpose,random,3,24.5974,0.0312
ta088,100,best,transpose,random,4,22.527,0.0244
ta088,100,best,transpose,random,5,22.0261,0.0124
ta088,100,best,transpose,random,6,24.1173,0.0122
ta088,100,best,transpose,random,7,23.871,0.0212
ta088,100,best,transpose,random,8,24.8712,0.0305
ta088,100,best,transpose,random,9,21.9156,0.021
ta088,100,best,transpose,random,10,23.2391,0.0402
ta088,100,best,transpose,srz,1,6.9774,0.2924
ta088,100,best,transpose,srz,2,6.9774,0.2988
ta088,100,best,transpose,srz,3,6.9774,0.2974
ta088,100,best,transpose,srz,4,6.9774,0.2904
ta088,100,best,transpose,srz,5,6.9774,0.2923
ta088,100,best,transpose,srz,6,6.9774,0.3022
ta088,100,best,transpose,srz,7,6.9774,0.2962
ta088,100,best,transpose,srz,8,6.9774,0.2976
ta088,100,best,transpose,srz,9,6.9774,0.2924
ta088,100,best,transpose,srz,10,6.9774,0.2936
ta088,100,best,exchange,random,1,21.0881,2.6957
ta088,100,best,exchange,random,2,22.5663,1.1522
ta088,100,best,exchange,random,3,26.5829,3.4164
ta088,100,best,exchange,random,4,22.6152,1.1447
ta088,100,best,exchange,random,5,26.489,1.1512
ta088,100,best,exchange,random,6,21.6688,1.9112
ta088,100,best,exchange,random,7,21.2902,1.1403
ta088,100,best,exchange,random,8,20.7791,1.1486
ta088,100,best,exchange,random,9,22.7169,1.1332
ta088,100,best,exchange,random,10,22.1307,1.9038
ta088,100,best,exchange,srz,1,6.8159,1.42
ta088,100,best,exchange,srz,2,6.8159,1.4267
ta088,100,best,exchange,srz,3,6.8159,1.413
ta088,100,best,exchange,srz,4,6.8159,1.4381
ta088,100,best,exchange,srz,5,6.8159,1.4187
ta088,100,best,exchange,srz,6,6.8159,1.4124
ta088,100,best,exchange,srz,7,6.8159,1.407
ta088,100,best,exchange,srz,8,6.8159,1.4283
ta088,100,best,exchange,srz,9,6.8159,1.4103
ta088,100,best,exchange,srz,10,6.8159,1.4286
ta088,100,best,insert,random,1,21.5697,1.1388
ta088,100,best,insert,random,2,25.0298,1.1354
ta088,100,best,insert,random,3,23.839,1.1376
ta088,100,best,insert,random,4,24.5654,1.1319
ta088,100,best,insert,random,5,21.3827,1.5528
ta088,100,best,insert,random,6,24.3529,1.8794
ta088,100,best,insert,random,7,22.8976,1.1309
ta088,100,best,insert,random,8,26.5169,1.1365
ta088,100,best,insert,random,9,25.8069,1.1566
ta088,100,best,insert,random,10,26.0701,1.1535
ta088,100,best,insert,srz,1,7.6505,1.4767
ta088,100,best,insert,srz,2,7.6505,1.4409
ta088,100,best,insert,srz,3,7.6505,1.4326
ta088,100,best,insert,srz,4,7.6505,1.4085
ta088,100,best,insert,srz,5,7.6505,1.4232
ta088,100,best,insert,srz,6,7.6505,1.4118
ta088,100,best,insert,srz,7,7.6505,1.4107
ta088,100,best,insert,srz,8,7.6505,1.4211
ta088,100,best,insert,srz,9,7.6505,1.4147
ta088,100,best,insert,srz,10,7.6505,1.4208
ta082,100,first,transpose,random,1,20.2577,1.974
ta082,100,first,transpose,random,2,20.2467,1.3103
ta082,100,first,transpose,random,3,20.2268,2.2459
ta082,100,first,transpose,random,4,22.3354,0.8216
ta082,100,first,transpose,random,5,21.4059,1.7719
ta082,100,first,transpose,random,6,25.6456,0.5244
ta082,100,first,transpose,random,7,22.9524,0.9613
ta082,100,first,transpose,random,8,22.8577,0.8139
ta082,100,first,transpose,random,9,21.5817,0.7875
ta082,100,first,transpose,random,10,24.755,0.7452
ta082,100,first,transpose,srz,1,4.9325,1.4855
ta082,100,first,transpose,srz,2,4.9336,1.672
