Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 34.04     13.52    13.52   989496     0.00     0.00  PFSP::updateMakespanTable(int**, std::vector<int, std::allocator<int> > const&, int)
 19.36     21.21     7.69   989715     0.00     0.00  PFSP::copyMakespanTable(int**, int**, int, int)
 14.50     26.98     5.76 2845319530     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 13.85     32.48     5.50 2576223319     0.00     0.00  int const& std::max<int>(int const&, int const&)
  8.46     35.84     3.36 2843336338     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  7.50     38.82     2.98 2843341138     0.00     0.00  std::vector<Job, std::allocator<Job> >::operator[](unsigned long)
  1.03     39.23     0.41    30177     0.00     0.00  PFSP::computeMakespanTable(std::vector<int, std::allocator<int> > const&, int**)
  0.55     39.45     0.22  1009598     0.00     0.00  PFSP::getTotalCompletionTime(std::vector<int, std::allocator<int> > const&, int**)
  0.43     39.62     0.17      200     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned long)
  0.05     39.64     0.02   989496     0.00     0.00  PFSP::exchange(std::vector<int, std::allocator<int> >&, int, int)
  0.03     39.65     0.01 10522103     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.03     39.66     0.01  3208554     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.03     39.67     0.01  2045920     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.03     39.68     0.01  2020063     0.00     0.00  std::allocator<int>::~allocator()
  0.03     39.69     0.01  1010243     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.03     39.70     0.01  1010243     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.03     39.71     0.01  1009599     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.03     39.72     0.01   989507     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.03     39.73     0.01   989496     0.00     0.00  PFSP::iterative_improvement_algorithm(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#2}::operator()(std::vector<int, std::allocator<int> >&, int, int) const
  0.03     39.74     0.01    20100     0.00     0.00  PFSP::getTotalCompletionTime(std::vector<int, std::allocator<int> > const&)
