Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta088,100,best,insert,random,6,24.0627,1.1704
ta088,100,best,insert,random,7,24.103,1.1586
ta088,100,best,insert,random,8,21.6392,1.1621
ta088,100,best,insert,random,9,23.8141,1.1744
ta088,100,best,insert,random,10,23.083,1.1574
ta088,100,best,exchange,random,1,23.6973,1.6085
ta088,100,best,exchange,random,2,22.7018,1.163
ta088,100,best,exchange,random,3,19.8315,1.956
ta088,100,best,exchange,random,4,20.6613,1.9384
ta088,100,best,exchange,random,5,22.1575,2.6921
ta088,100,best,exchange,random,6,22.8471,1.1494
ta088,100,best,exchange,random,7,24.5037,1.5164
ta088,100,best,exchange,random,8,25.1991,1.5132
ta088,100,best,exchange,random,9,24.602,0.7597
ta088,100,best,exchange,random,10,21.6581,1.1474
ta088,100,best,exchange,srz,1,6.8159,1.4516
ta088,100,best,exchange,srz,2,6.8159,1.4508
ta088,100,best,exchange,srz,3,6.8159,1.4376
ta088,100,best,exchange,srz,4,6.8159,1.4451
ta088,100,best,exchange,srz,5,6.8159,1.4208
ta088,100,best,exchange,srz,6,6.8159,1.4237
ta088,100,best,exchange,srz,7,6.8159,1.4041
ta088,100,best,exchange,srz,8,6.8159,1.4273
ta088,100,best,exchange,srz,9,6.8159,1.443
ta088,100,best,exchange,srz,10,6.8159,1.4159
ta088,100,best,insert,srz,1,7.6505,1.555
ta088,100,best,insert,srz,2,7.6505,1.4907
ta088,100,best,insert,srz,3,7.6505,1.4576
ta088,100,best,insert,srz,4,7.6505,1.4721
ta088,100,best,insert,srz,5,7.6505,1.4231
ta088,100,best,insert,srz,6,7.6505,1.4232
ta088,100,best,insert,srz,7,7.6505,1.4273
ta088,100,best,insert,srz,8,7.6505,1.4104
ta088,100,best,insert,srz,9,7.6505,1.4369
ta088,100,best,insert,srz,10,7.6505,1.4227
ta082,100,first,exchange,srz,1,5.2844,0.6759
ta082,100,first,exchange,srz,2,5.2844,0.6766
ta082,100,first,exchange,srz,3,5.2844,0.6827
ta082,100,first,exchange,srz,4,5.2844,0.6684
ta082,100,first,exchange,srz,5,5.2844,0.6608
ta082,100,first,exchange,srz,6,5.2844,0.6739
ta082,100,first,exchange,srz,7,5.2844,0.6689
ta082,100,first,exchange,srz,8,5.2844,0.6762
ta082,100,first,exchange,srz,9,5.2844,0.6684
ta082,100,first,exchange,srz,10,5.2844,0.6647
ta082,100,best,transpose,random,1,25.1731,0.0589
ta082,100,best,transpose,random,2,22.9225,0.0127
ta082,100,best,transpose,random,3,27.0612,0.0407
ta082,100,best,transpose,random,4,25.1069,0.041
ta082,100,best,transpose,random,5,26.4196,0.0396
ta082,100,best,transpose,random,6,26.0962,0.0171
ta082,100,best,transpose,random,7,24.219,0.0232
ta082,100,best,transpose,random,8,29.5792,0.0316
ta082,100,best,transpose,random,9,24.947,0.0141
ta082,100,best,transpose,random,10,24.9567,0.0323
ta082,100,first,insert,srz,1,5.2844,0.6774
ta082,100,first,insert,srz,2,5.2844,0.6912
ta082,100,first,insert,srz,3,5.2844,0.6771
ta082,100,first,insert,srz,4,5.2844,0.6927
ta082,100,first,insert,srz,5,5.2844,0.6699
ta082,100,first,insert,srz,6,5.2844,0.668
ta082,100,first,insert,srz,7,5.2844,0.7072
ta082,100,first,insert,srz,8,5.2844,0.737
