Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta088,100,first,vnd1,srz,2,6.2612,5.2471
ta088,100,first,vnd1,srz,3,6.7829,2.6104
ta088,100,first,vnd1,srz,4,5.5963,8.6805
ta088,100,first,vnd1,srz,5,6.7829,2.502
ta088,100,first,vnd1,srz,6,6.7941,2.2667
ta088,100,first,vnd1,srz,7,5.9036,6.7861
ta088,100,first,vnd1,srz,8,6.0482,4.2982
ta088,100,first,vnd1,srz,9,6.2958,5.4113
ta088,100,first,vnd1,srz,10,5.9676,5.7682
ta088,100,first,vnd2,random,1,6.1403,3.9369
ta088,100,first,vnd2,random,2,6.7941,2.3139
ta088,100,first,vnd2,random,3,6.7941,2.6049
ta088,100,first,vnd2,random,4,5.8066,7.8309
ta088,100,first,vnd2,random,5,6.8159,2.2749
ta088,100,first,vnd2,random,6,6.4521,4.01
ta088,100,first,vnd2,random,7,6.7829,3.3353
ta088,100,first,vnd2,random,8,6.7057,4.5424
ta088,100,first,vnd2,random,9,5.9117,4.4234
ta088,100,first,vnd2,random,10,6.1973,4.2943
ta088,100,first,vnd2,srz,1,6.7829,2.9254
ta088,100,first,vnd2,srz,2,6.7941,2.4746
ta088,100,first,vnd2,srz,3,5.5895,3.5121
ta088,100,first,vnd2,srz,4,6.7941,2.8286
ta088,100,first,vnd2,srz,5,5.8779,5.2724
ta088,100,first,vnd2,srz,6,6.566,3.8906
ta088,100,first,vnd2,srz,7,6.7941,2.909
ta088,100,first,vnd2,srz,8,5.8111,4.7113
ta088,100,first,vnd2,srz,9,6.2901,5.3011
ta088,100,first,vnd2,srz,10,6.7829,1.9287
ta088,100,best,vnd1,random,1,6.8159,2.6673
ta088,100,best,vnd1,random,2,6.7941,3.103
ta088,100,best,vnd1,random,3,6.6352,4.8729
ta088,100,best,vnd1,random,4,5.6743,6.5843
ta088,100,best,vnd1,random,5,6.8159,1.7945
ta088,100,best,vnd1,random,6,6.7941,2.7148
ta088,100,best,vnd1,random,7,6.5634,4.5288
ta088,100,best,vnd1,random,8,5.125,7.7902
ta088,100,best,vnd1,random,9,6.7941,2.7605
ta088,100,best,vnd1,random,10,6.7829,3.2796
ta088,100,best,vnd1,srz,1,6.8159,1.7657
ta088,100,best,vnd1,srz,2,6.7829,2.4902
ta088,100,best,vnd1,srz,3,6.526,4.3487
ta088,100,best,vnd1,srz,4,5.9052,5.3751
ta088,100,best,vnd1,srz,5,6.7941,2.4431
ta088,100,best,vnd1,srz,6,6.7941,2.4688
ta088,100,best,vnd1,srz,7,6.082,4.6467
ta088,100,best,vnd1,srz,8,6.5015,4.9269
ta088,100,best,vnd1,srz,9,6.7941,2.9236
ta088,100,best,vnd1,srz,10,6.7941,2.6366
ta088,100,best,vnd2,random,1,6.8159,1.6837
ta088,100,best,vnd2,random,2,5.957,3.7889
ta088,100,best,vnd2,random,3,5.6823,8.0269
ta088,100,best,vnd2,random,4,5.7133,5.6861
ta088,100,best,vnd2,random,5,6.0215,10.2375
ta088,100,best,vnd2,random,6,6.43,4.0106
ta088,100,best,vnd2,random,7,6.8159,2.2712
ta088,100,best,vnd2,random,8,5.8066,3.9707
ta088,100,best,vnd2,random,9,6.1369,4.3643
ta088,100,best,vnd2,random,10,6.7941,3.0782
ta088,100,best,vnd2,srz,1,6.7829,3.2641
ta088,100,best,vnd2,srz,2,6.7829,3.0535
ta088,100,best,vnd2,srz,3,6.0451,6.0036
ta088,100,best,vnd2,srz,4,6.5135,3.4742
ta088,100,best,vnd2,srz,5,5.6347,8.266
ta088,100,best,vnd2,srz,6,6.8159,1.9743
ta088,100,best,vnd2,srz,7,6.0758,4.6302
ta088,100,best,vnd2,srz,8,6.7876,4.6322
ta088,100,best,vnd2,srz,9,6.7941,3.428
ta088,100,best,vnd2,srz,10,6.7941,2.8496
ta082,100,first,vnd1,random,1,4.9341,2.8759
ta082,100,first,vnd1,random,2,4.9341,3.2604
ta082,100,first,vnd1,random,3,4.9855,2.9153
ta082,100,first,vnd1,random,4,4.9325,2.7899
ta082,100,first,vnd1,random,5,4.9723,2.5201
ta082,100,first,vnd1,random,6,4.9341,2.7015
ta082,100,first,vnd1,random,7,4.9341,2.7359
ta082,100,first,vnd1,random,8,4.9855,2.6763
ta082,100,first,vnd1,random,9,4.9336,2.5002
ta082,100,first,vnd1,random,10,4.9336,2.607
ta082,100,first,vnd1,srz,1,4.9336,2.7133
ta082,100,first,vnd1,srz,2,4.9341,2.8292
ta082,100,first,vnd1,srz,3,4.9341,2.7703
ta082,100,first,vnd1,srz,4,4.9723,2.8632
ta082,100,first,vnd1,srz,5,4.9336,3.1946
ta082,100,first,vnd1,srz,6,4.9336,2.9639
ta082,100,first,vnd1,srz,7,4.9855,2.7875
ta082,100,first,vnd1,srz,8,4.9341,2.6935
ta082,100,first,vnd1,srz,9,4.9341,2.6926
ta082,100,first,vnd1,srz,10,4.9325,3.3378
ta082,100,first,vnd2,random,1,4.9855,2.6798
ta082,100,first,vnd2,random,2,4.9855,2.5858
ta082,100,first,vnd2,random,3,4.9341,2.6538
ta082,100,first,vnd2,random,4,5.0062,2.5398
ta082,100,first,vnd2,random,5,4.9341,2.7309
ta082,100,first,vnd2,random,6,4.9341,2.9126
ta082,100,first,vnd2,random,7,4.9341,2.9183
ta082,100,first,vnd2,random,8,4.9325,3.4454
ta082,100,first,vnd2,random,9,4.9341,3.2455
ta082,100,first,vnd2,random,10,4.9855,2.7944
ta082,100,first,vnd2,srz,1,4.9336,3.0998
ta082,100,first,vnd2,srz,2,4.9341,3.5444
ta082,100,first,vnd2,srz,3,4.9325,2.6113
ta082,100,first,vnd2,srz,4,4.9341,3.148
ta082,100,first,vnd2,srz,5,4.9341,2.5586
ta082,100,first,vnd2,srz,6,4.9336,2.8265
ta082,100,first,vnd2,srz,7,4.9341,3.1718
ta082,100,first,vnd2,srz,8,4.9723,2.6281
ta082,100,first,vnd2,srz,9,4.9341,2.6305
ta082,100,first,vnd2,srz,10,4.9341,3.1633
ta082,100,best,vnd1,random,1,4.9336,2.4754
ta082,100,best,vnd1,random,2,4.9723,3.2077
ta082,100,best,vnd1,random,3,4.9723,2.9941
ta082,100,best,vnd1,random,4,4.9855,2.3459
ta082,100,best,vnd1,random,5,4.9855,2.4431
ta082,100,best,vnd1,random,6,4.9341,3.5909
ta082,100,best,vnd1,random,7,4.9336,2.6414
ta082,100,best,vnd1,random,8,4.9723,3.216
ta082,100,best,vnd1,random,9,4.9336,2.6748
ta082,100,best,vnd1,random,10,4.9723,2.3188
ta082,100,best,vnd1,srz,1,4.9855,3.3512
ta082,100,best,vnd1,srz,2,4.9855,2.9882
ta082,100,best,vnd1,srz,3,4.9341,2.675
ta082,100,best,vnd1,srz,4,4.9341,2.803
ta082,100,best,vnd1,srz,5,4.9723,2.2617
ta082,100,best,vnd1,srz,6,4.9968,2.7557
ta082,100,best,vnd1,srz,7,4.9325,3.0448
ta082,100,best,vnd1,srz,8,4.9341,2.5583
ta082,100,best,vnd1,srz,9,4.9855,3.1055
ta082,100,best,vnd1,srz,10,4.9336,2.608
ta082,100,best,vnd2,random,1,4.9723,2.4936
ta082,100,best,vnd2,random,2,4.9336,2.8767
ta082,100,best,vnd2,random,3,4.9968,2.4307
ta082,100,best,vnd2,random,4,4.9336,2.258
ta082,100,best,vnd2,random,5,4.9341,2.7354
ta082,100,best,vnd2,random,6,4.9341,2.5791
ta082,100,best,vnd2,random,7,4.9341,2.8952
ta082,100,best,vnd2,random,8,4.9341,2.8588
ta082,100,best,vnd2,random,9,4.9336,3.0519
ta082,100,best,vnd2,random,10,4.9723,3.1503
ta082,100,best,vnd2,srz,1,4.9336,2.6398
ta082,100,best,vnd2,srz,2,4.9341,2.832
ta082,100,best,vnd2,srz,3,4.9341,3.5333
ta082,100,best,vnd2,srz,4,4.9968,2.8746
ta082,100,best,vnd2,srz,5,4.9325,2.691
ta082,100,best,vnd2,srz,6,4.829,5.2648
ta082,100,best,vnd2,srz,7,4.9968,2.1428
ta082,100,best,vnd2,srz,8,4.9723,2.6524
ta082,100,best,vnd2,srz,9,4.9341,3.596
ta082,100,best,vnd2,srz,10,4.9855,2.5486
ta086,100,first,vnd1,random,1,6.181,10.5638
ta086,100,first,vnd1,random,2,7.4571,5.2264
ta086,100,first,vnd1,random,3,5.8333,15.8686
ta086,100,first,vnd1,random,4,7.8718,4.1851
ta086,100,first,vnd1,random,5,6.7092,7.34
ta086,100,first,vnd1,random,6,7.6849,2.8733
ta086,100,first,vnd1,random,7,6.1015,12.4639
ta086,100,first,vnd1,random,8,7.8553,3.1153
ta086,100,first,vnd1,random,9,7.2244,6.2511
ta086,100,first,vnd1,random,10,6.8952,4.8065
ta086,100,first,vnd1,srz,1,7.7081,3.6535
ta086,100,first,vnd1,srz,2,5.6092,13.1497
ta086,100,first,vnd1,srz,3,7.0441,6.0064
ta086,100,first,vnd1,srz,4,6.3498,7.6449
